norad,name,gcat_name,gcat_mass,massflag,bus,shape,n_tle,n_rejected,da_dt_km_day,fit_resid_km,alt_km,rho_kg_m3,cd_am,am,ratio_to_toro2_tumbling,closest_hyp,unknown
68447,IRIDE-MS1-EAGLET 2-14,IRIDE-MS1-Eaglet-2-14,25.0,,Eaglet,Box+2 pan,74,0,-0.05008301749005403,0.009347993363462592,512.7642995674094,5.325688548740018e-13,0.020770499408446257,0.009441136094748299,1.2015991393316017,最大面迎風（帆板+本體）,False
68500,ICEYE-X74,ICEYE-X74,120.0,,ICEYE,Box + pan,71,0,-0.015086973420837146,0.005049654800131975,594.9286901870106,1.5985240813354536e-13,0.020722198127283275,0.009419180966946942,1.1988048503387017,最大面迎風（帆板+本體）,False
68453,IRIDE-MS1-EAGLET 2-11,IRIDE-MS1-Eaglet-2-11,25.0,,Eaglet,Box+2 pan,74,0,-0.049527094035792696,0.00782707675398342,513.1707638876511,5.279362784913409e-13,0.020719632182699354,0.009418014628499706,1.1986564072635988,最大面迎風（帆板+本體）,False
68504,ICEYE-X72,ICEYE-X72,120.0,,ICEYE,Box + pan,76,0,-0.014984022453234607,0.0037163956094445894,593.8411317582197,1.62970338530984e-13,0.02018866425503092,0.009176665570468598,1.167939254423276,最大面迎風（帆板+本體）,False
68454,AISSAT 4,AISSAT-4,12.0,,Cubesat 6U,Box,69,0,-0.045003468652189786,0.008695305808942067,515.9980234320774,5.019179512536855e-13,0.019798980565080004,0.008999536620490911,1.1453955698806613,最大面迎風（帆板+本體）,False
68503,FLYLAB2,Flylab-2,10.0,?,Cubesat 6U,Box+ 4 pan,72,0,-0.013254944140663777,0.0016833366908031167,597.5486654632506,1.5259536001323732e-13,0.019067997974087335,0.008667271806403334,1.1031073208149698,最大面迎風（帆板+本體）,False
68430,VEGAFLY-1,Vega,5.0,?,Cubesat 3U?,Box,70,0,-0.04623436914771402,0.00809036158852905,512.285293724675,5.376601442881332e-13,0.018993441079661156,0.008633382308936888,1.098794112046513,最大面迎風（帆板+本體）,False
68490,MIMIR 1,Mimir-1,93.0,,Mimir,Box+ 2 pan + antenna,69,0,-0.013761752675852045,0.005604656292234722,595.216070075139,1.5914978032933489e-13,0.01898516871160563,0.008629622141638921,1.098315545299499,最大面迎風（帆板+本體）,False
68481,TORO-3,Toro-3,12.0,,Cubesat 8U,Box,70,0,-0.014151252375773585,0.004200411574856844,593.1740602120249,1.6475096194005328e-13,0.01886144367727999,0.008573383489672723,1.0911578986856192,最大面迎風（帆板+本體）,False
68416,PEAKSAT,Peaksat,5.0,?,Cubesat 3U,Box,70,0,-0.04635613533911834,0.007172249379891582,510.9425972806607,5.508076350269129e-13,0.01859071581734914,0.008450325371522335,1.07549595637557,最大面迎風（帆板+本體）,False
